지번주소,Latitude,Longitude
서울특별시 성동구 용답동 7-10번지,37.5637881,127.0553664
서울특별시 구로구 개봉동 118-31번지,37.504221,126.8468376
서울특별시 구로구 개봉동 126-6번지,37.5024497,126.8481013
서울특별시 구로구 개봉동 126-6번지,37.5024497,126.8481013
서울특별시 성동구 용답동 7-7번지,37.5637195,127.0554142
서울특별시 구로구 개봉동 132-49번지,37.5000477,126.8494217
서울특별시 성동구 용답동 7-7번지,37.5637195,127.0554142
서울특별시 구로구 개봉동 132-55번지,37.5002527,126.8496564
서울특별시 구로구 개봉동 133-10번지,37.5002316,126.850231
서울특별시 구로구 개봉동 134-18번지,37.4997704,126.8506603
서울특별시 마포구 연남동 254-27번지,37.563566,126.9226638
서울특별시 마포구 연남동 254-27번지,37.563566,126.9226638
서울특별시 마포구 연남동 255-16번지,37.5623775,126.9237713
서울특별시 마포구 연남동 255-16번지,37.5623775,126.9237713
서울특별시 마포구 연남동 255-33번지,37.5624598,126.9235095
서울특별시 마포구 연남동 255-33번지,37.5624598,126.9235095
서울특별시 마포구 연남동 255-33번지,37.5624598,126.9235095
서울특별시 마포구 연남동 260-52번지,37.5608353,126.9245444
서울특별시 마포구 연남동 383-96번지,37.5616852,126.9265495
서울특별시 마포구 연남동 383-96번지,37.5616852,126.9265495
서울특별시 마포구 연남동 383-96번지,37.5616852,126.9265495
서울특별시 마포구 연남동 564-18번지,37.5593556,126.9192394
서울특별시 마포구 연남동 564-18번지,37.5593556,126.9192394
서울특별시 마포구 연남동 567-26번지,37.5604006,126.9222455
서울특별시 마포구 연남동 567-26번지,37.5604006,126.9222455
서울특별시 마포구 연남동 570-16번지,37.5588932,126.9198792
서울특별시 마포구 연남동 570-16번지,37.5588932,126.9198792
